overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
600,49 / 53,Braña Alejandro,,45-49 M,01:06:59,01:05:41,,42,,,,,
601,76 / 81,Dennehy Martin,,25-29 M,01:07:14,01:05:41,,64,,,,,
602,- / 32,Unknown,,0-0 M,01:12:21,01:05:44,,1051,,,,,
603,7 / 10,Manuel Barrionuevo,,65-69 M,01:06:10,01:05:50,,878,,,,,
604,33 / 39,Portela Natalia,,35-39 F,01:06:11,01:05:52,,221,,,,,
605,41 / 47,Prado Lucas David,,18-24 M,01:06:53,01:05:55,,1284,,,,,
606,34 / 39,Eguia Roxana,,35-39 F,01:06:18,01:05:56,,676,,,,,
607,16 / 20,Adrye Cespedes,,45-49 F,01:07:17,01:06:00,,12,,,,,
608,22 / 35,Cecilia Leal,,30-34 F,01:06:35,01:06:02,,114,,,,,
609,62 / 68,Leivas Sebastian,,40-44 M,01:06:54,01:06:02,,252,,,,,
610,17 / 27,Blosztejn Romina,,25-29 F,01:07:42,01:06:12,,671,,,,,
611,10 / 17,Perla Benitez,,50-54 F,01:06:33,01:06:13,,59,,,,,
612,- / 32,Unknown,,0-0 M,01:07:45,01:06:26,,1226,,,,,
613,23 / 35,Giselle Souble,,30-34 F,01:08:10,01:06:29,,584,,,,,
614,69 / 70,Gimenez Sebastian Marcos Gim,,35-39 M,01:07:59,01:06:36,,695,,,,,
615,1 / 2,Sol Rois,,1-17 F,01:08:08,01:06:41,,18,,,,,
616,- / 2,Romina Ruscio,,0-0 F,01:07:40,01:06:52,,332,,,,,
617,27 / 27,Reinaga Dario,,50-54 M,01:07:48,01:06:54,,1277,,,,,
618,8 / 10,Fiasqui Vicente,,65-69 M,01:07:49,01:06:55,,1281,,,,,
619,68 / 77,Urrea Diego,,30-34 M,01:07:39,01:07:03,,548,,,,,
620,24 / 35,Delcampo Natalia,,30-34 F,01:08:42,01:07:12,,1298,,,,,
621,11 / 17,Lilian Falconier,,50-54 F,01:08:38,01:07:13,,446,,,,,
622,25 / 35,Andrea Isabel Vera Benitez,,30-34 F,01:07:44,01:07:25,,321,,,,,
623,26 / 35,Texera Karina Paola,,30-34 F,01:08:56,01:07:26,,1268,,,,,
624,69 / 77,Anibal Pedro Furcinitto,,30-34 M,01:08:11,01:07:32,,827,,,,,
625,32 / 38,Elba Abalos,,40-44 F,01:10:22,01:07:32,,621,,,,,
626,70 / 70,Brond Leonardo,,35-39 M,01:07:40,01:07:34,,848,,,,,
627,70 / 77,Caraballo Agustin,,30-34 M,01:08:32,01:07:34,,747,,,,,
628,13 / 15,Caraballo Fernando,,60-64 M,01:08:32,01:07:35,,746,,,,,
629,77 / 81,Salinas Alfredo,,25-29 M,01:09:16,01:07:43,,63,,,,,
630,18 / 27,Tkaczuk Daniela Ayelén,,25-29 F,01:08:16,01:07:46,,1137,,,,,
631,42 / 47,Schmift Guillermo Pablo,,18-24 M,01:08:16,01:07:46,,1138,,,,,
632,1 / 4,Lovegrove Susana Elba,,60-64 F,01:07:53,01:07:49,,40,,,,,
633,20 / 26,Fernandez Hector Daniel,,55-59 M,01:07:56,01:07:52,,39,,,,,
634,21 / 26,Berto Emilio,,55-59 M,01:09:15,01:07:53,,1333,,,,,
635,17 / 20,Mara Rodriguez,,45-49 F,01:08:49,01:07:55,,83,,,,,
636,63 / 68,Rodrigo Eugenio Federico,,40-44 M,01:08:49,01:07:55,,84,,,,,
637,7 / 9,Brenda Ailen Cioffi,,18-24 F,01:09:22,01:07:57,,130,,,,,
638,9 / 10,Inveninato Pedro,,65-69 M,01:13:11,01:08:05,,1147,,,,,
639,43 / 47,Actis German,,18-24 M,01:13:11,01:08:07,,1163,,,,,
640,64 / 68,Martin Oscar Dal Pozzo,,40-44 M,01:08:24,01:08:13,,29,,,,,
641,35 / 39,Zampar Romina,,35-39 F,01:08:33,01:08:21,,204,,,,,
642,44 / 47,Lagoria Lucas,,18-24 M,01:13:11,01:08:24,,1158,,,,,
643,45 / 47,Valbruni Carlos,,18-24 M,01:13:11,01:08:24,,1157,,,,,
644,78 / 81,Juan Martin Rudaz,,25-29 M,01:09:01,01:08:29,,65,,,,,
645,27 / 35,Caraballo Elida Carolina,,30-34 F,01:10:07,01:08:44,,1246,,,,,
646,71 / 77,Perez Pablo Leonardo,,30-34 M,01:10:07,01:08:44,,1213,,,,,
647,8 / 9,Quaranta Noelia,,18-24 F,01:09:57,01:08:45,,1305,,,,,
648,72 / 77,Saracho Julio,,30-34 M,01:09:57,01:08:45,,841,,,,,
649,1 / 1,Silvia Weissewin,,65-69 F,01:09:59,01:09:02,,397,,,,,
650,28 / 35,De Vita Maria Soledad,,30-34 F,01:09:50,01:09:06,,211,,,,,
651,73 / 77,Gomez Flores Carlos Gaston,,30-34 M,01:09:52,01:09:07,,212,,,,,
652,65 / 68,Quiroga Mariano Hugo,,40-44 M,01:10:42,01:09:07,,1320,,,,,
653,29 / 35,Rattaro Maria Laura,,30-34 F,01:09:53,01:09:08,,538,,,,,
654,46 / 47,Gabriel Alejandro Longarich,,18-24 M,01:10:10,01:09:11,,115,,,,,
655,14 / 15,Alejandro Merel,,60-64 M,01:11:21,01:09:26,,591,,,,,
656,18 / 20,Baira Gesica,,45-49 F,01:09:56,01:09:38,,726,,,,,
657,33 / 38,Lopez Erica,,40-44 F,01:09:56,01:09:38,,800,,,,,
658,36 / 39,Vicente Evangelina,,35-39 F,01:16:25,01:09:41,,1161,,,,,
659,19 / 27,Maria Jimena Sanchez,,25-29 F,01:10:27,01:09:42,,818,,,,,
660,20 / 27,Biglieri Agostina,,25-29 F,01:10:52,01:09:43,,1248,,,,,
661,12 / 17,Seoane Liliana,,50-54 F,01:10:52,01:09:43,,1256,,,,,
662,4 / 7,Russo Norberto Oscar,,70-74 M,01:09:50,01:09:46,,1149,,,,,
663,3 / 5,Guz Irma Rebeca,,55-59 F,01:11:01,01:09:50,,1297,,,,,
664,13 / 17,Careaga Aquino Maria Magdalena,,50-54 F,01:10:54,01:10:07,,849,,,,,
665,50 / 53,Bono Julio Cesar,,45-49 M,01:13:16,01:10:21,,1124,,,,,
666,74 / 77,Rodrigo Ramos,,30-34 M,01:13:14,01:10:27,,155,,,,,
667,30 / 35,Luca Yanina,,30-34 F,01:12:33,01:10:34,,1208,,,,,
668,75 / 77,Cara Francisco,,30-34 M,01:12:33,01:10:34,,1207,,,,,
669,79 / 81,Roberto Zareba,,25-29 M,01:12:19,01:10:46,,472,,,,,
670,80 / 81,Rodrigo Alejandro Novas,,25-29 M,01:12:19,01:10:46,,456,,,,,
671,2 / 4,Adriana Elba Espejo,,60-64 F,01:11:25,01:10:47,,116,,,,,
672,22 / 26,Ortuño Dante,,55-59 M,01:12:13,01:10:54,,842,,,,,
673,21 / 27,Romina Kamitz,,25-29 F,01:11:40,01:10:58,,118,,,,,
674,51 / 53,Jorge La Padula,,45-49 M,01:13:14,01:11:02,,142,,,,,
675,14 / 17,Sotomayor Gimenez Paulina Mirian,,50-54 F,01:13:34,01:11:35,,547,,,,,
676,19 / 20,Iruzun Leda,,45-49 F,01:12:25,01:11:40,,178,,,,,
677,10 / 10,Jose Luis Entebi,,65-69 M,01:12:39,01:11:47,,81,,,,,
678,23 / 26,Luis Cabello,,55-59 M,01:13:31,01:11:56,,408,,,,,
679,34 / 38,Palavecino Maria Del Lujan,,40-44 F,01:13:32,01:11:59,,260,,,,,
680,66 / 68,Juan Urrutia,,40-44 M,01:13:04,01:12:06,,337,,,,,
681,15 / 17,Maria Fernanda Vidal,,50-54 F,01:13:18,01:12:21,,600,,,,,
682,9 / 9,Priegue Rosario,,18-24 F,01:14:06,01:12:24,,1247,,,,,
683,67 / 68,Moro Gustavo Adrian,,40-44 M,01:13:06,01:12:30,,1264,,,,,
684,- / 32,Unknown,,0-0 M,01:14:02,01:12:35,,1217,,,,,
685,35 / 38,Coman Nora Beatris,,40-44 F,01:13:35,01:12:44,,266,,,,,
686,36 / 38,Lorena Ivon Bacaicoa,,40-44 F,01:12:52,01:12:47,,121,,,,,
687,22 / 27,Di Liscia Maria Florencia,,25-29 F,01:13:22,01:12:58,,46,,,,,
688,5 / 7,Nestor Leonardo Besada,,70-74 M,01:13:29,01:13:02,,119,,,,,
689,16 / 17,Inzaurraga Beatriz,,50-54 F,01:14:37,01:13:06,,667,,,,,
690,37 / 38,Valeria Bertazza,,40-44 F,01:13:41,01:13:16,,62,,,,,
691,52 / 53,Portillo Javier,,45-49 M,01:15:54,01:13:53,,1339,,,,,
692,81 / 81,Nicomedes Aranda,,25-29 M,01:17:01,01:14:11,,619,,,,,
693,24 / 26,Martínez Carlos Alberto,,55-59 M,01:15:52,01:14:57,,255,,,,,
694,31 / 35,Bruch Tatiana,,30-34 F,01:15:52,01:15:06,,713,,,,,
695,3 / 4,Wachtmeister Maria Del Carmen,,60-64 F,01:16:06,01:15:18,,0,,,,,
696,25 / 26,Mauricio Mangioni,,55-59 M,01:16:27,01:15:20,,630,,,,,
697,20 / 20,Otero Elizabeth Ingrid,,45-49 F,01:16:11,01:15:26,,799,,,,,
698,23 / 27,Cintia Picon,,25-29 F,01:16:31,01:15:35,,107,,,,,
699,2 / 2,Pia Maria Florencia,,1-17 F,01:17:25,01:15:53,,658,,,,,
700,24 / 27,Burruchaga Ferreira Mercedes,,25-29 F,01:16:56,01:16:02,,865,,,,,
701,53 / 53,Daniel Martinez Borda,,45-49 M,01:17:58,01:16:07,,392,,,,,
702,76 / 77,Luciano Amoroso,,30-34 M,01:19:03,01:16:08,,24,,,,,
703,32 / 35,Soledad Zavala,,30-34 F,01:18:35,01:17:12,,645,,,,,
704,26 / 26,Monachesi Vicente,,55-59 M,01:19:44,01:18:06,,267,,,,,
705,4 / 5,Stella Fernandez,,55-59 F,01:19:00,01:18:33,,625,,,,,
706,37 / 39,Moreno Paredes Graciela,,35-39 F,01:19:58,01:18:36,,734,,,,,
707,33 / 35,Jesica Cruces,,30-34 F,01:18:58,01:18:37,,99,,,,,
708,4 / 4,Rojas Norma Beatriz,,60-64 F,01:19:54,01:19:16,,1206,,,,,
709,34 / 35,Renna Noelia,,30-34 F,01:19:52,01:19:29,,44,,,,,
710,38 / 39,Carolina Sanchez Castillo,,35-39 F,01:21:44,01:19:30,,583,,,,,
711,25 / 27,Natali Llompart,,25-29 F,01:21:44,01:19:30,,564,,,,,
712,6 / 7,Sagardoyburu Juan Carlos,,70-74 M,01:21:24,01:20:09,,513,,,,,
713,38 / 38,Negretti Paola Lorena,,40-44 F,01:20:46,01:20:11,,1209,,,,,
714,26 / 27,Torales Lourdes Anahi,,25-29 F,01:23:46,01:22:00,,1145,,,,,
715,77 / 77,Torales Alfredo,,30-34 M,01:23:46,01:22:01,,1106,,,,,
716,- / 2,Felicitas Contino,,0-0 F,01:23:44,01:23:03,,387,,,,,
717,17 / 17,Marcone Maria A,,50-54 F,01:23:43,01:23:15,,49,,,,,
718,5 / 5,Perez Marta,,55-59 F,01:24:28,01:24:00,,665,,,,,
719,15 / 15,Gorisch Norberto,,60-64 M,01:24:08,01:24:01,,1250,,,,,
720,7 / 7,Attis Eduardo,,70-74 M,01:31:52,01:30:37,,503,,,,,
721,27 / 27,Valeria Vilcapuma,,25-29 F,01:32:05,01:30:42,,597,,,,,
722,39 / 39,Paz Valeria Ines,,35-39 F,01:38:12,01:36:41,,1275,,,,,
723,35 / 35,Romero Magdalena,,30-34 F,01:38:15,01:36:44,,1196,,,,,
724,47 / 47,Castro Juan,,18-24 M,01:38:14,01:37:40,,706,,,,,
