overall_rank,div_rank,Nombre,Apellido,Categoria,tiempo oficial,tiempo neto,sexo,bib,nationality,swim,bike,run_first,run_last
116,23 / 81,Pablo Daniel Burgos,,25-29 M,00:48:15,00:46:50,,380,,,,,
117,- / 32,Unknown,,0-0 M,00:47:03,00:46:57,,1214,,,,,
118,16 / 68,Garcia Fernando,,40-44 M,00:47:16,00:46:57,,1192,,,,,
119,14 / 53,Ibarra Claudio Martin,,45-49 M,00:47:11,00:46:58,,1261,,,,,
120,4 / 26,Camilletti Adalberto,,55-59 M,00:47:10,00:47:02,,709,,,,,
121,4 / 27,Marcelo Rey,,50-54 M,00:47:26,00:47:07,,590,,,,,
122,15 / 77,Fabiano Juan Pablo,,30-34 M,00:47:18,00:47:12,,782,,,,,
123,24 / 81,Liehr Oscar Mario,,25-29 M,00:47:57,00:47:13,,804,,,,,
124,2 / 35,Florencia Kasparas,,30-34 F,00:47:26,00:47:22,,152,,,,,
125,17 / 68,Diaz Ciro,,40-44 M,00:47:27,00:47:22,,209,,,,,
126,25 / 81,Ovalle Emanuel Flamingo,,25-29 M,00:47:36,00:47:23,,558,,,,,
127,16 / 77,Gomez Pablo,,30-34 M,00:49:14,00:47:28,,518,,,,,
128,26 / 81,Almiron Damian,,25-29 M,00:47:33,00:47:31,,1292,,,,,
129,5 / 27,Ghigliazza Roberto Gustavo,,50-54 M,00:48:03,00:47:32,,1293,,,,,
130,5 / 27,Sere Rocio,,25-29 F,00:47:39,00:47:34,,1282,,,,,
131,17 / 77,Canete Facundo,,30-34 M,00:47:39,00:47:35,,1280,,,,,
132,18 / 68,Nieto Damian Gustavo,,40-44 M,00:48:16,00:47:38,,866,,,,,
133,27 / 81,Damian Alejandro Giolondo,,25-29 M,00:47:49,00:47:43,,834,,,,,
134,19 / 68,Cacio Javier,,40-44 M,00:47:48,00:47:46,,1136,,,,,
135,19 / 70,Silva De Queiroz Leandro,,35-39 M,00:47:55,00:47:46,,711,,,,,
136,18 / 77,Murphy Esteban,,30-34 M,00:50:14,00:47:46,,495,,,,,
137,4 / 39,Maria Ester Nuñez,,35-39 F,00:47:53,00:47:47,,56,,,,,
138,2 / 8,Ivo David Ponce,,1-17 M,00:48:42,00:47:48,,32,,,,,
139,28 / 81,Juan Manuel Goncalves Neiva Novo,,25-29 M,00:48:20,00:47:51,,628,,,,,
140,29 / 81,Federico Lettieri,,25-29 M,00:49:40,00:47:51,,432,,,,,
141,20 / 68,Simas Velho Radames,,40-44 M,00:48:04,00:47:57,,233,,,,,
142,20 / 70,Paz Diego,,35-39 M,00:49:38,00:47:58,,1187,,,,,
143,21 / 70,Gabriel Vega,,35-39 M,00:48:14,00:48:02,,96,,,,,
144,5 / 26,Esses Claudio,,55-59 M,00:48:11,00:48:03,,251,,,,,
145,30 / 81,Negri Juan Carlos,,25-29 M,00:49:48,00:48:11,,217,,,,,
146,19 / 77,Torres Flavio,,30-34 M,00:48:59,00:48:12,,1328,,,,,
147,6 / 26,Inda Juan Jose,,55-59 M,00:48:23,00:48:14,,1177,,,,,
148,11 / 47,Cellucci Luciano Angel,,18-24 M,00:48:39,00:48:15,,21,,,,,
149,15 / 53,Medina Claudio Hugo,,45-49 M,00:48:24,00:48:17,,1152,,,,,
150,3 / 38,Becquart Yorladi,,40-44 F,00:48:40,00:48:20,,761,,,,,
151,4 / 38,Debatisse Audrey,,40-44 F,00:48:40,00:48:20,,182,,,,,
152,3 / 8,Martin Alberto Almagro,,1-17 M,00:49:40,00:48:23,,34,,,,,
153,6 / 27,Mercedes Lucero,,25-29 F,00:48:43,00:48:29,,162,,,,,
154,12 / 47,Sielicki Brian Nahuel,,18-24 M,00:50:17,00:48:32,,536,,,,,
155,22 / 70,Chavez Hernan,,35-39 M,00:48:47,00:48:37,,249,,,,,
156,21 / 68,Juan Jose Espilocin,,40-44 M,00:48:53,00:48:38,,462,,,,,
157,1 / 15,Gustavo Cesar Alonso,,60-64 M,00:48:44,00:48:41,,26,,,,,
158,5 / 38,Vallino Maria Soledad,,40-44 F,00:50:00,00:48:42,,785,,,,,
159,13 / 47,Rocha Maximiiano Cruz,,18-24 M,00:48:59,00:48:45,,192,,,,,
160,23 / 70,Hernan Pandolfi,,35-39 M,00:49:55,00:48:46,,640,,,,,
161,24 / 70,Bruno Brinzo,,35-39 M,00:49:57,00:48:49,,622,,,,,
162,5 / 39,Martinez Natalia,,35-39 F,00:49:32,00:48:51,,490,,,,,
163,- / 32,Ignacio Albornoz,,0-0 M,00:49:08,00:48:52,,879,,,,,
164,6 / 39,Roman Guadalupe,,35-39 F,00:49:36,00:48:52,,795,,,,,
165,20 / 77,Nicolas Anguera,,30-34 M,00:49:10,00:48:53,,426,,,,,
166,22 / 68,Meza Eduardo,,40-44 M,00:50:11,00:48:54,,745,,,,,
167,7 / 26,Julio Carruego,,55-59 M,00:50:36,00:49:04,,624,,,,,
168,4 / 8,Francisco Mansilla,,1-17 M,00:49:22,00:49:09,,52,,,,,
169,21 / 77,Maiale Guillermo,,30-34 M,00:50:37,00:49:11,,751,,,,,
170,6 / 38,Barbara Eisenberg,,40-44 F,00:50:23,00:49:14,,639,,,,,
171,31 / 81,Lugo Luciano,,25-29 M,00:49:38,00:49:15,,498,,,,,
172,25 / 70,Petraroia Claudio,,35-39 M,00:49:22,00:49:17,,1181,,,,,
173,32 / 81,Lugo Dario,,25-29 M,00:49:45,00:49:23,,497,,,,,
174,23 / 68,Davidovich Michel,,40-44 M,00:49:51,00:49:24,,697,,,,,
175,16 / 53,Oberman Victor,,45-49 M,00:49:38,00:49:25,,229,,,,,
176,14 / 47,Angelini Luciano,,18-24 M,00:50:14,00:49:27,,707,,,,,
177,7 / 39,Altamirano Maria Fernanda,,35-39 F,00:50:48,00:49:28,,661,,,,,
178,17 / 53,D'emilio Daniel Luis,,45-49 M,00:49:41,00:49:31,,688,,,,,
179,24 / 68,Abel Minaberrigaray,,40-44 M,00:49:57,00:49:31,,404,,,,,
180,8 / 26,Grippo Daniel Osvaldo,,55-59 M,00:49:42,00:49:33,,758,,,,,
181,33 / 81,Maximiliano Marufo Da Silva,,25-29 M,00:49:52,00:49:36,,23,,,,,
182,2 / 20,Oribe Gabriela Cristina,,45-49 F,00:50:00,00:49:37,,778,,,,,
183,2 / 15,Perez Castillo Arturo Alfredo,,60-64 M,00:50:19,00:49:39,,253,,,,,
184,18 / 53,Tarela Tomas,,45-49 M,00:50:11,00:49:53,,1175,,,,,
185,26 / 70,Flores Cesar Hernan,,35-39 M,00:50:32,00:49:55,,1140,,,,,
186,15 / 47,Sabaté Juan Francisco,,18-24 M,00:51:11,00:49:56,,1304,,,,,
187,5 / 8,Guglielmotti Nicolas,,1-17 M,00:50:10,00:49:57,,515,,,,,
188,19 / 53,Rodas Fabian,,45-49 M,00:50:48,00:49:59,,694,,,,,
189,27 / 70,Torres Matias,,35-39 M,00:50:11,00:50:00,,227,,,,,
190,- / 32,Unknown,,0-0 M,00:50:40,00:50:03,,1233,,,,,
191,6 / 27,Forlenza Marcelo Daniel,,50-54 M,00:51:41,00:50:04,,248,,,,,
192,22 / 77,Truscello Dario Nicolas,,30-34 M,00:50:54,00:50:07,,1120,,,,,
193,25 / 68,Eduardo Moreno,,40-44 M,00:50:32,00:50:08,,631,,,,,
194,28 / 70,Christian Federico Suarez,,35-39 M,00:50:59,00:50:10,,304,,,,,
195,23 / 77,Ignacio Franco,,30-34 M,00:50:39,00:50:11,,463,,,,,
196,- / 32,Victor Gamarra,,0-0 M,00:50:39,00:50:11,,464,,,,,
197,29 / 70,Rodrigo Lucas,,35-39 M,00:50:44,00:50:12,,565,,,,,
198,16 / 47,Federico Arguello,,18-24 M,00:53:01,00:50:12,,620,,,,,
199,30 / 70,Staghezza Pablo,,35-39 M,00:51:02,00:50:17,,1334,,,,,
